date,AOT,CCU,CTI,CWS,KDB,RGB,SDD,SLP,TSM,TUR
2022-12-08,,0.07340762,0.002072171,,,,,,,
2022-12-09,,0.13646302,0.007321744,,,,,,,
2022-12-10,,0.15942201,0.009074718,,,,,,,
2022-12-11,,0.15589127,0.009067569,,,,,,,
2022-12-12,,0.12121551,0.008826729,,,,,,,
2022-12-13,,0.07278965,0.008716755,,,,,,,
2022-12-14,,0.034775186,0.008076436,,,,,,,
2022-12-15,,0.050112806,0.005967149,,,,,,,
2022-12-16,,0.03263227,0.0017843161,,,,,,,
2022-12-17,,0.11129176,-0.0041077756,,,,,,,
2022-12-18,,0.15110776,-0.010368553,,,,,,,
2022-12-19,,0.119652376,-0.014994303,,,,,,,
2022-12-20,,0.06893957,-0.016438803,,,,,,,
2022-12-21,,0.027014133,-0.014225315,,,,,,,
2022-12-22,,0.033606384,-0.008954847,,,,,,,
2022-12-23,,0.087415576,-0.0013312262,,,,,,,
2022-12-24,,0.03809869,0.008254317,,,,,,,
2022-12-25,,0.12582581,0.019153766,,,,,,,
2022-12-26,,0.07668765,0.029461557,,,,,,,
2022-12-27,,0.020459538,0.035819944,,,,,,,
2022-12-28,,0.17997676,0.034945652,,,,,,,
2022-12-29,,0.1559835,0.02565071,,,,,,,
2022-12-30,,0.11437746,0.010189847,,,,,,,
2022-12-31,,0.1296078,-0.0065607294,,,,,,,
2023-01-01,,0.14130905,-0.019252194,,,,,,,
2023-01-02,,0.118044004,-0.024443481,,,,,,,
2023-01-03,,0.074855395,-0.022018021,,,,,,,
2023-01-04,,0.049232997,-0.014780956,,,,,,,
2023-01-05,,0.042261157,-0.0067212903,,,,,,,
2023-01-06,,0.08087898,-0.0008421202,,,,,,,
2023-01-07,,0.086557455,0.0021648235,,,,,,,
2023-01-08,,0.06639971,0.0034842277,,,,,,,
2023-01-09,,0.027267681,0.004621351,,,,,,,
2023-01-10,,0.05909881,0.0060301083,,,,,,,
2023-01-11,,0.18552345,0.0068538086,,,,,,,
2023-01-12,,0.10052303,0.005953677,,,,,,,
2023-01-13,,0.0424921,0.0029360107,,,,,,,
2023-01-14,,0.04643606,-0.0015852645,,,,,,,
2023-01-15,,0.08288802,-0.006266551,,,,,,,
2023-01-16,,0.044886492,-0.009821162,,,,,,,
2023-01-17,,0.029974766,-0.011493855,,,,,,,
2023-01-18,,0.17451072,-0.011178507,,,,,,,
2023-01-19,,0.13842721,-0.009283667,,,,,,,
2023-01-20,,0.09372108,-0.006134033,,,,,,,
2023-01-21,,0.06602204,-0.0015478734,,,,,,,
2023-01-22,,0.035002023,0.0050098314,,,,,,,
2023-01-23,,0.053743802,0.013458802,,,,,,,
2023-01-24,,0.051930897,0.022164835,,,,,,,
2023-01-25,,0.07300142,0.027857877,,,,,,,
2023-01-26,,0.06304191,0.027349524,,,,,,,
2023-01-27,,0.063012846,0.019439146,,,,,,,
2023-01-28,,0.16614868,0.006159327,,,,,,,
2023-01-29,,0.11456626,-0.007993956,,,,,,,
2023-01-30,,0.060920037,-0.018427942,,,,,,,
2023-01-31,,0.12991343,-0.022689957,,,,,,,
2023-02-01,,0.108220845,-0.02126333,,,,,,,
2023-02-02,,0.059348665,-0.016706312,,,,,,,
2023-02-03,,0.14906815,-0.011807004,,,,,,,
2023-02-04,,0.13744251,-0.008075886,,,,,,,
2023-02-05,,0.07549818,-0.005372743,,,,,,,
2023-02-06,,0.08141855,-0.0028587547,,,,,,,
2023-02-07,,0.07392673,-8.9078334e-05,,,,,,,
2023-02-08,,0.13490376,0.0023297835,,,,,,,
2023-02-09,,0.17295232,0.0032796774,,,,,,,
2023-02-10,,0.15518573,0.0021043383,,,,,,,
2023-02-11,,0.083465606,-0.0007222494,,,,,,,
2023-02-12,,0.07879707,-0.0037759317,,,,,,,
2023-02-13,,0.06677651,-0.0057505015,,,,,,,
2023-02-14,,0.064606585,-0.0062478557,,,,,,,
2023-02-15,,0.062624,-0.0059828204,,,,,,,
2023-02-16,,0.18461673,-0.006029834,,,,,,,
2023-02-17,,0.23082687,-0.0068474845,,,,,,,
2023-02-18,,0.20385738,-0.0077168234,,,,,,,
